Testing v8 version different from logging version
Statistical profiling result from isolate-0x7867bc665040-1-v8.log, (37088 ticks, 96 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  26892   72.5%          /lib/ld-musl-x86_64.so.1
   5418   14.6%          /usr/local/bin/node
    149    0.4%          /usr/lib/libstdc++.so.6.0.30
      2    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    473    1.3%   10.2%  Builtin: LoadIC_Megamorphic
    464    1.3%   10.0%  Builtin: KeyedLoadIC_Megamorphic
    308    0.8%    6.7%  Builtin: LoadIC
    304    0.8%    6.6%  JS: *onStreamRead node:internal/stream_base_commons:167:22
    180    0.5%    3.9%  Builtin: CallFunction_ReceiverIsAny
    173    0.5%    3.7%  Builtin: StoreIC
    160    0.4%    3.5%  JS: *Socket._write node:net:963:35
    137    0.4%    3.0%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    111    0.3%    2.4%  JS: *emit node:events:466:44
    105    0.3%    2.3%  JS: *Readable.push node:internal/streams/readable:385:35
    103    0.3%    2.2%  JS: *Writable.write node:internal/streams/writable:496:36
     86    0.2%    1.9%  Builtin: LoadICTrampoline_Megamorphic
     80    0.2%    1.7%  JS: *processTicksAndRejections node:internal/process/task_queues:67:35
     76    0.2%    1.6%  JS: *ondata node:internal/streams/readable:1005:18
     74    0.2%    1.6%  Builtin: CreateTypedArray
     67    0.2%    1.4%  JS: *nextTick node:internal/process/task_queues:103:18
     58    0.2%    1.3%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     57    0.2%    1.2%  Builtin: CallBoundFunction
     57    0.2%    1.2%  Builtin: BaselineOutOfLinePrologue
     47    0.1%    1.0%  Builtin: JSBuiltinsConstructStub
     46    0.1%    1.0%  Builtin: KeyedStoreIC_Megamorphic
     45    0.1%    1.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
     44    0.1%    1.0%  Builtin: Call_ReceiverIsAny
     43    0.1%    0.9%  JS: *maybeReadMore_ node:internal/streams/readable:862:24
     42    0.1%    0.9%  JS: *onwrite node:internal/streams/writable:607:17
