Testing v8 version different from logging version
Statistical profiling result from isolate-0x7a8c21b99040-1-v8.log, (35871 ticks, 220 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  21855   60.9%          /lib/ld-musl-x86_64.so.1
   4415   12.3%          /usr/local/bin/node
     52    0.1%          /usr/lib/libstdc++.so.6.0.30
      4    0.0%          [vdso]
      2    0.0%          /usr/lib/libgcc_s.so.1

 [JavaScript]:
   ticks  total  nonlib   name
    925    2.6%    9.7%  Builtin: KeyedLoadIC_Megamorphic
    695    1.9%    7.3%  JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
    657    1.8%    6.9%  Builtin: LoadIC
    431    1.2%    4.5%  JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
    327    0.9%    3.4%  JS: *clearBuffer node:internal/streams/writable:735:21
    324    0.9%    3.4%  JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
    313    0.9%    3.3%  JS: *onSent /app/node_modules/engine.io/build/transports/websocket.js:67:28
    310    0.9%    3.2%  Builtin: LoadIC_Megamorphic
    276    0.8%    2.9%  JS: *send /app/node_modules/ws/lib/sender.js:303:7
    265    0.7%    2.8%  Builtin: CallFunction_ReceiverIsAny
    242    0.7%    2.5%  Builtin: RecordWriteSaveFP
    222    0.6%    2.3%  JS: *writevGeneric node:internal/stream_base_commons:122:23
    179    0.5%    1.9%  JS: *onwrite node:internal/streams/writable:607:17
    174    0.5%    1.8%  JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
    170    0.5%    1.8%  Builtin: StoreIC
    152    0.4%    1.6%  Builtin: CallBoundFunction
    148    0.4%    1.6%  JS: *processTicksAndRejections node:internal/process/task_queues:67:35
    141    0.4%    1.5%  JS: *callback node:internal/streams/writable:754:63
    135    0.4%    1.4%  JS: *frame /app/node_modules/ws/lib/sender.js:68:15
    127    0.4%    1.3%  JS: *onDrain /app/node_modules/engine.io/build/socket.js:320:25
    124    0.3%    1.3%  JS: *Writable.write node:internal/streams/writable:496:36
    117    0.3%    1.2%  Builtin: CreateTypedArray
    108    0.3%    1.1%  JS: *afterWriteTick node:internal/streams/writable:684:24
    106    0.3%    1.1%  Builtin: FindOrderedHashMapEntry
    105    0.3%    1.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     99    0.3%    1.0%  Builtin: FindOrderedHashSetEntry
     97    0.3%    1.0%  JS: *arrayClone node:events:894:20
     85    0.2%    0.9%  JS: *emit node:events:466:44
     80    0.2%    0.8%  Builtin: LoadICTrampoline_Megamorphic
     75    0.2%    0.8%  Builtin: CopyDataProperties
     75    0.2%    0.8%  Builtin: ArrayPrototypeSlice
     69    0.2%    0.7%  JS: *debug /app/node_modules/debug/src/common.js:66:17
     68    0.2%    0.7%  Builtin: LoadGlobalIC
     60    0.2%    0.6%  Builtin: Call_ReceiverIsNotNullOrUndefined
     57    0.2%    0.6%  Builtin: GrowFastSmiOrObjectElements
     54    0.2%    0.6%  Builtin: CallApiCallbackOptimizedNoProfiling
     53    0.1%    0.6%  Builtin: CreateDataProperty
     52    0.1%    0.5%  Builtin: BaselineOutOfLinePrologue
     50    0.1%    0.5%  Builtin: LoadICTrampoline
     50    0.1%    0.5%  Builtin: LoadGlobalICTrampoline
     48    0.1%    0.5%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     46    0.1%    0.5%  Builtin: Call_ReceiverIsNullOrUndefined
     45    0.1%    0.5%  Builtin: JSBuiltinsConstructStub
     43    0.1%    0.5%  Builtin: CloneFastJSArray
     42    0.1%    0.4%  Builtin: CompileLazy
     42    0.1%    0.4%  Builtin: ArrayPrototypePush
     41    0.1%    0.4%  Builtin: KeyedStoreIC_Megamorphic
     40    0.1%    0.4%  Builtin: KeyedLoadICTrampoline_Megamorphic
     39    0.1%    0.4%  Builtin: KeyedStoreIC
     38    0.1%    0.4%  JS: *get /app/node_modules/debug/src/common.js:125:9
     38    0.1%    0.4%  Builtin: Call_ReceiverIsAny
     32    0.1%    0.3%  Builtin: KeyedLoadIC
     30    0.1%    0.3%  Builtin: KeyedLoadIC_PolymorphicName
     29    0.1%    0.3%  Builtin: CallWithArrayLike
     28    0.1%    0.3%  Builtin: NewRestArgumentsElements
     26    0.1%    0.3%  JS: *get node:internal/bootstrap/node:100:8
     26    0.1%    0.3%  JS: *<anonymous> node:internal/validators:175:40
     24    0.1%    0.3%  JS: *_encode /app/node_modules/notepack.io/lib/encode.js:49:17
     22    0.1%    0.2%  JS: *get node:net:2306:6
     20    0.1%    0.2%  Builtin: ToBooleanForBaselineJump
     17    0.0%    0.2%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     16    0.0%    0.2%  Builtin: GetProperty
     16    0.0%    0.2%  Builtin: BaselineLeaveFrame
     15    0.0%    0.2%  Builtin: StringEqual
     15    0.0%    0.2%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
     14    0.0%    0.1%  JS: *wrappedFn node:internal/errors:508:21
     14    0.0%    0.1%  Builtin: HandleApiConstruct
     13    0.0%    0.1%  JS: *startLoop /app/node_modules/ws/lib/receiver.js:129:12
     13    0.0%    0.1%  JS: *get node:internal/bootstrap/node:409:8
     12    0.0%    0.1%  JS: *encode /app/node_modules/notepack.io/lib/encode.js:260:16
     12    0.0%    0.1%  Builtin: StrictEqual_Baseline
     11    0.0%    0.1%  JS: *ondata /app/node_modules/socket.io/dist/client.js:179:11
     11    0.0%    0.1%  Builtin: CreateShallowObjectLiteral
     11    0.0%    0.1%  Builtin: CallVarargs
     10    0.0%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      9    0.0%    0.1%  JS: *Decoder.parse /app/node_modules/notepack.io/lib/decode.js:47:36
